Label;Precision;Recall;F1;Language
Summary;87.3;82.9;85.0;Java
Ownership;100;100;100;Java
Expand;32.3;44.4;37.4;Java
Usage;91.1;91.8;86.2;Java
Pointer;73.8;60.0;69.2;Java
Deprecation;87.3;82.9;85.0;Java
Rational;16.2;29.5;20.9;Java
Usage;70.0;73.5;71.7;Python
Parameters;79.3;81.2;80.3;Python
Development Notes;24.3;48.7;32.5;Python
Expand;43.3;76.5;55.3;Python
Summary;64.8;58.5;61.5;Python
Key Implementation;63.6;65.1;64.3;Pharo
Example;87.2;90.3;88.7;Pharo
Responsibility;59.6;59.6;59.6;Pharo
Class References;20.0;50.0;28.5;Pharo
Intent;71.8;76.6;74.1;Pharo
Key Message;68.0;79.0;73.1;Pharo
Collaborators;26.0;60.0;36.3;Pharo
Average;;;59.1